episode,vanilla,mean_baseline,critic,rloo
388,500.0,287.0,500.0,185.0
389,242.0,500.0,500.0,144.0
390,190.0,450.0,500.0,500.0
391,389.0,321.0,500.0,306.0
392,446.0,500.0,500.0,272.0
393,500.0,251.0,500.0,354.0
394,382.0,202.0,500.0,213.0
395,413.0,329.0,202.0,352.0
396,277.0,487.0,500.0,286.0
397,500.0,411.0,500.0,412.0
398,353.0,181.0,276.0,477.0
399,168.0,500.0,500.0,227.0
400,457.0,444.0,500.0,286.0
401,108.0,500.0,221.0,148.0
402,245.0,394.0,500.0,500.0
403,346.0,500.0,500.0,320.0
404,226.0,332.0,500.0,228.0
405,86.0,112.0,500.0,243.0
406,445.0,189.0,500.0,180.0
407,242.0,500.0,500.0,281.0
408,232.0,302.0,500.0,219.0
409,240.0,436.0,500.0,307.0
410,199.0,333.0,298.0,222.0
411,223.0,185.0,500.0,143.0
412,146.0,176.0,500.0,140.0
413,289.0,176.0,500.0,355.0
414,255.0,458.0,500.0,500.0
415,240.0,497.0,500.0,451.0
416,160.0,288.0,500.0,107.0
417,242.0,438.0,376.0,208.0
418,201.0,274.0,472.0,500.0
419,265.0,148.0,443.0,379.0
420,298.0,197.0,500.0,500.0
421,236.0,500.0,403.0,461.0
422,345.0,142.0,364.0,460.0
423,265.0,181.0,500.0,190.0
424,218.0,500.0,500.0,439.0
425,195.0,135.0,500.0,304.0
426,463.0,123.0,500.0,225.0
427,477.0,259.0,500.0,159.0
428,452.0,231.0,500.0,500.0
429,500.0,250.0,468.0,428.0
430,355.0,161.0,500.0,500.0
431,299.0,166.0,500.0,458.0
432,233.0,225.0,500.0,232.0
433,315.0,249.0,500.0,364.0
434,384.0,211.0,418.0,273.0
435,412.0,283.0,500.0,317.0
436,183.0,342.0,256.0,500.0
437,243.0,127.0,500.0,152.0
438,500.0,281.0,500.0,435.0
439,104.0,106.0,500.0,500.0
440,346.0,289.0,500.0,500.0
441,339.0,27.0,500.0,500.0
442,500.0,166.0,500.0,500.0
443,399.0,276.0,500.0,430.0
444,256.0,271.0,500.0,382.0
445,234.0,207.0,500.0,360.0
446,470.0,343.0,500.0,419.0
447,87.0,141.0,481.0,500.0
448,343.0,357.0,500.0,211.0
449,500.0,227.0,461.0,500.0
450,492.0,307.0,500.0,500.0
451,161.0,116.0,500.0,500.0
452,500.0,394.0,500.0,356.0
453,276.0,324.0,500.0,304.0
454,165.0,175.0,500.0,500.0
455,500.0,157.0,500.0,402.0
456,221.0,129.0,500.0,115.0
457,259.0,325.0,500.0,136.0
458,500.0,186.0,500.0,181.0
459,238.0,191.0,500.0,500.0
460,357.0,500.0,500.0,150.0
461,500.0,456.0,500.0,500.0
462,500.0,101.0,500.0,329.0
463,439.0,465.0,500.0,228.0
464,233.0,500.0,500.0,500.0
465,500.0,373.0,500.0,500.0
466,326.0,500.0,500.0,119.0
467,318.0,439.0,494.0,500.0
468,500.0,412.0,500.0,368.0
469,401.0,400.0,500.0,369.0
470,386.0,332.0,500.0,500.0
471,99.0,240.0,500.0,364.0
472,351.0,500.0,500.0,293.0
473,500.0,500.0,500.0,309.0
474,249.0,384.0,500.0,210.0
475,343.0,461.0,500.0,151.0
476,209.0,257.0,500.0,142.0
477,70.0,52.0,500.0,186.0
478,364.0,86.0,500.0,349.0
479,500.0,500.0,500.0,191.0
480,500.0,484.0,500.0,128.0
481,500.0,285.0,500.0,235.0
482,313.0,332.0,500.0,264.0
483,326.0,476.0,500.0,297.0
484,500.0,282.0,500.0,194.0
485,124.0,235.0,500.0,222.0
486,500.0,430.0,500.0,201.0
487,500.0,431.0,500.0,430.0
488,292.0,406.0,500.0,177.0
489,434.0,500.0,500.0,300.0
490,500.0,203.0,500.0,325.0
491,367.0,195.0,500.0,327.0
492,105.0,211.0,500.0,258.0
493,401.0,300.0,500.0,259.0
494,267.0,284.0,500.0,500.0
495,217.0,225.0,500.0,373.0
496,500.0,339.0,500.0,405.0
497,281.0,153.0,500.0,500.0
498,306.0,500.0,500.0,500.0
499,299.0,178.0,500.0,500.0
500,374.0,500.0,500.0,500.0
501,169.0,500.0,500.0,500.0
502,162.0,500.0,500.0,500.0
503,170.0,330.0,500.0,500.0
504,292.0,358.0,500.0,500.0
505,109.0,500.0,500.0,250.0
506,241.0,500.0,490.0,500.0
507,137.0,422.0,500.0,136.0
508,232.0,376.0,72.0,391.0
509,299.0,500.0,465.0,500.0
510,287.0,486.0,500.0,234.0
511,354.0,500.0,500.0,500.0
512,121.0,500.0,200.0,466.0
513,221.0,500.0,500.0,375.0
514,413.0,500.0,500.0,140.0
515,482.0,500.0,500.0,500.0
516,305.0,122.0,500.0,361.0
517,392.0,500.0,235.0,500.0
518,500.0,500.0,500.0,166.0
519,319.0,500.0,500.0,310.0
520,366.0,500.0,500.0,383.0
521,313.0,500.0,500.0,157.0
522,157.0,500.0,500.0,300.0
523,390.0,500.0,297.0,225.0
524,442.0,383.0,500.0,500.0
525,331.0,389.0,500.0,500.0
526,201.0,435.0,500.0,483.0
527,234.0,219.0,500.0,390.0
528,434.0,372.0,500.0,243.0
529,179.0,363.0,500.0,500.0
530,213.0,346.0,500.0,500.0
531,182.0,454.0,500.0,500.0
532,354.0,248.0,500.0,500.0
533,139.0,445.0,500.0,346.0
